Category,Details
"University","Harvard University"
"University","Harvard University"
"Location","USA"
"Program","MBA"
"Intake","September, January"
"Duration","18 Months"
"Tuition Fees","USD 136,910"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","683"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
"Class Profile - Average GRE Score","321"
"Class Profile - Average GPA","3.36"
"Class Profile - Average GMAT Score","697"
"Class Profile - Average Age","27"
"Class Profile URL","https://www.harvard.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$81388"
"Employment Statistics - Finance","$94171"
"Employment Statistics - Marketing","$80352"
"Employment Statistics - Information Technology","$108034"
"Employment Statistics - Average Salary (in $)","$90986"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","199%"
"Deadlines","Round 1: October 2, Round 2: January 14, Round 3: March 2"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at Harvard University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Stanford University"
"University","Stanford University"
"Location","USA"
"Program","MBA"
"Intake","Fall"
"Duration","24 Months"
"Tuition Fees","USD 113,375"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","709"
"Recommended Scores - Recommended GRE","395"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.stanford.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","324"
"Class Profile - Average GPA","3.75"
"Class Profile - Average GMAT Score","727"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.stanford.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$103112"
"Employment Statistics - Finance","$118969"
"Employment Statistics - Marketing","$86137"
"Employment Statistics - Information Technology","$93256"
"Employment Statistics - Average Salary (in $)","$100368"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","265%"
"Deadlines","Round 1: October 8, Round 2: January 5, Round 3: March 5"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at Stanford University. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","MIT - Sloan School of Business"
"University","MIT - Sloan School of Business"
"Location","USA"
"Program","MBA"
"Intake","Fall, Spring"
"Duration","18 Months"
"Tuition Fees","USD 118,260"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","683"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.mit.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","326"
"Class Profile - Average GPA","3.49"
"Class Profile - Average GMAT Score","688"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.mit.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$92091"
"Employment Statistics - Finance","$121011"
"Employment Statistics - Marketing","$88945"
"Employment Statistics - Information Technology","$121750"
"Employment Statistics - Average Salary (in $)","$105949"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","268%"
"Deadlines","Round 1: October 15, Round 2: January 8, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at MIT - Sloan School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","UC Berkeley - Haas School of Business"
"University","UC Berkeley - Haas School of Business"
"Location","USA"
"Program","MBA"
"Intake","September"
"Duration","24 Months"
"Tuition Fees","USD 118,840"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","687"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.uc.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","323"
"Class Profile - Average GPA","3.64"
"Class Profile - Average GMAT Score","704"
"Class Profile - Average Age","29"
"Class Profile URL","https://www.uc.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$106591"
"Employment Statistics - Finance","$124029"
"Employment Statistics - Marketing","$89637"
"Employment Statistics - Information Technology","$117910"
"Employment Statistics - Average Salary (in $)","$109541"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","276%"
"Deadlines","Round 1: October 6, Round 2: January 7, Round 3: March 11"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at UC Berkeley - Haas School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Columbia Business School"
"University","Columbia Business School"
"Location","USA"
"Program","MBA"
"Intake","Fall"
"Duration","18 Months"
"Tuition Fees","USD 125,296"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","701"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.columbia.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","3 Years"
"Class Profile - Average GRE Score","323"
"Class Profile - Average GPA","3.49"
"Class Profile - Average GMAT Score","691"
"Class Profile - Average Age","25"
"Class Profile URL","https://www.columbia.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$86509"
"Employment Statistics - Finance","$95380"
"Employment Statistics - Marketing","$77389"
"Employment Statistics - Information Technology","$123993"
"Employment Statistics - Average Salary (in $)","$95817"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","229%"
"Deadlines","Round 1: October 11, Round 2: January 15, Round 3: March 3"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at Columbia Business School. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Carnegie Mellon University - Tepper School of Business"
"University","Carnegie Mellon University - Tepper School of Business"
"Location","USA"
"Program","MBA"
"Intake","September"
"Duration","18 Months"
"Tuition Fees","USD 124,078"
"GMAT/GRE Waiver","Yes"
"Recommended Scores - Recommended GMAT","714"
"Recommended Scores - Recommended GRE","396"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.carnegie.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","4 Years"
"Class Profile - Average GRE Score","322"
"Class Profile - Average GPA","3.35"
"Class Profile - Average GMAT Score","705"
"Class Profile - Average Age","24"
"Class Profile URL","https://www.carnegie.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$90402"
"Employment Statistics - Finance","$122963"
"Employment Statistics - Marketing","$90954"
"Employment Statistics - Information Technology","$128223"
"Employment Statistics - Average Salary (in $)","$108135"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","261%"
"Deadlines","Round 1: October 2, Round 2: January 8, Round 3: March 5"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at Carnegie Mellon University - Tepper School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE (can be waived)"
"Application Requirements - Interview","By invitation only"
""
"University","NYU - Stern School of Business"
"University","NYU - Stern School of Business"
"Location","USA"
"Program","MBA"
"Intake","September, January"
"Duration","24 Months"
"Tuition Fees","USD 101,286"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","686"
"Recommended Scores - Recommended GRE","392"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.nyu.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","315"
"Class Profile - Average GPA","3.76"
"Class Profile - Average GMAT Score","691"
"Class Profile - Average Age","26"
"Class Profile URL","https://www.nyu.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$99589"
"Employment Statistics - Finance","$94188"
"Employment Statistics - Marketing","$94721"
"Employment Statistics - Information Technology","$114316"
"Employment Statistics - Average Salary (in $)","$100703"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","298%"
"Deadlines","Round 1: October 14, Round 2: January 12, Round 3: March 13"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at NYU - Stern School of Business. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","1 Letters of Recommendation (1 Academic and 1 Professional)"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Northwestern University - Kellogg School of Management"
"University","Northwestern University - Kellogg School of Management"
"Location","USA"
"Program","MBA"
"Intake","Fall, Spring"
"Duration","24 Months"
"Tuition Fees","USD 144,215"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","695"
"Recommended Scores - Recommended GRE","393"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.northwestern.edu/programs/mba/admissions/eligibility"
"Class Profile - Average Work Experience","2 Years"
"Class Profile - Average GRE Score","317"
"Class Profile - Average GPA","3.40"
"Class Profile - Average GMAT Score","704"
"Class Profile - Average Age","28"
"Class Profile URL","https://www.northwestern.edu/programs/mba/class-profile"
"Employment Statistics - Consulting","$95929"
"Employment Statistics - Finance","$94475"
"Employment Statistics - Marketing","$109005"
"Employment Statistics - Information Technology","$118343"
"Employment Statistics - Average Salary (in $)","$104438"
"Employment Statistics - ROI (3 years avg. salary/Total tuition fee)","217%"
"Deadlines","Round 1: October 7, Round 2: January 4, Round 3: March 15"
"Application Requirements - Essays","Essay 1: Tell us about your career goals and why you want to pursue a MBA at Northwestern University - Kellogg School of Management. (500 words)

Essay 2: Describe a challenge you've faced and how you overcame it. How did this experience shape your leadership style? (400 words)"
"Application Requirements - Letter of Recommendations","2 Letters of Recommendation"
"Application Requirements - Resume","Required"
"Application Requirements - Transcripts","Required"
"Application Requirements - Test Scores","GMAT/GRE required"
"Application Requirements - Interview","By invitation only"
""
"University","Harvard University"
"University","Harvard University"
"Location","USA"
"Program","MiM"
"Intake","September"
"Duration","12 Months"
"Tuition Fees","USD 61,157"
"GMAT/GRE Waiver","No"
"Recommended Scores - Recommended GMAT","696"
"Recommended Scores - Recommended GRE","394"
"Eligibility","Minimum 2 years of work experience, Bachelor's degree with minimum GPA of 3.0"
"Eligibility URL","https://www.harvard.edu/programs/mim/admissions/eligibility"
"Class Profile - Average Work Experience","5 Years"
