Title,Description,Host Country,Host Organization,Eligibility,Benefits,Deadline,Apply URL,Official URL,Source URL
"Swedish Institute Leadership Program 2020 in Sweden [Fully Funded]","The Swedish Institute is now accepting applications for the Swedish Institute Leadership Program 2020 in Sweden. She Entrepreneurs is a fully-funded leadership program for highly motivated women entrepreneurs in the Middle East and North Africa (MENA) who are building successful and sustainable businesses with the potential to make a difference in their societies.","Sweden","Sweden","","She Entrepreneurs will give you:. The opportunity to plan and strategize for your business in an inspiring and collaborative learning environment.. Regular support and input through sessions with expert mentors on an individual level as well as through group coaching.. Increased self-awareness as a leader and a deepened understanding of how to build effective and motivated teams.. Increased knowledge on topics such as business development, communication, business innovation, growing through partnerships, finance and funding. New perspectives on responsible and sustainable business practices from a social and an environmental perspective, as well as tangible tools for measuring your value creation.. A strong and active network of like-minded women entrepreneurs.","The last date to apply for the Swedish Institute Leadership Program 2020 is  4 February 2020.. APPLY NOW OFFICIAL LINK","https://si.se/en/apply/leadership-programmes/she-entrepreneurs/","https://si.se/en/apply/leadership-programmes/she-entrepreneurs/","https://scholarshipscorner.website/swedish-institute-leadership-program/"
"Amsterdam Excellence Scholarship 2020 in the Netherlands","The University of Amsterdam is now accepting applications for the Amsterdam Excellence Scholarship 2020 in the Netherlands. The University of Amsterdam Scholarship is one of the most prestigious and best scholarship for the master’s students.","Netherlands","University of Amsterdam","Non-EU students from any discipline who graduated in the top 10% of their class may apply. Selection is on the basis of academic excellence, ambition and the relevance of the selected Master’s program to a student’s future career.. For two-year Master’s programs, there is the possibility of an extension for a second year. Scholarship recipients become part of a select community, taking part, for example, in extracurricular activities developed especially for them.. You might be interested in Turkey Scholarships for BS, MS & PhD [Fully Funded], Apply","","AES scholarship should be submitted no later than 15 January 2020, 23:59 CET.. APPLY NOW OFFICIAL LINK","https://www.uva.nl/en/education/master-s/scholarships--tuition/scholarships-and-loans/amsterdam-excellence-scholarship/amsterdam-excellence-scholarship.html","https://www.uva.nl/en/education/master-s/scholarships--tuition/scholarships-and-loans/amsterdam-excellence-scholarship/amsterdam-excellence-scholarship.html","https://scholarshipscorner.website/amsterdam-excellence-scholarship/"
"Aziz Foundation Scholarship 2020 at the University of Oxford – Study in the UK","The Aziz Foundation Scholarship 2020 is now open for application. The Aziz Foundation is offering a Master’s degree scholarship at Regent’s Park College, the University of Oxford for the 2020-21 academic year. Oxford was ranked first in the world in the Times Higher Education (THE) World University Rankings for 2017, 2018 and 2019. Oxford offers more than 350 different graduate degree programmes.","United Kingdom","University of Oxford. Looking for fully funded scholarships?  Check Turkey Burslari Scholarships 2020 for BS/MS/PhD [Fully Funded]","","","The last date to apply for the Aziz Foundation Scholarship 2020 at the University of Oxford is 31 March 2020.. APPLY NOW OFFICIAL LINK","http://azizfoundation.org.uk/scholarship-applications-oxford-university/","http://azizfoundation.org.uk/scholarship-applications-oxford-university/","https://scholarshipscorner.website/aziz-foundation-scholarship/"
"G20 Global Leadership Program 2020 in South Korea [Fully Funded]","Call for applications for the 2020 Ist G20 Global Leadership Program 2020 in South Korea. The fully-funded leadership program will take place in Seoul from March 17th to the 27th. The intensive two-week G20 leadership program will include an overview of Korea’s development experiences, development policy and G20 agenda issues such as quality infrastructure, climate change & green growth, sustainable development, international trade, aging population, 4th industrial revolution and strengthening of the financial system.","South Korea","South Korea","This program has been designed for experienced managers, practitioners and decision-makers in their respective organizations who will be working in some capacity as a leader, change agent, or facilitator in promoting global development or on G20 agenda-setting.. Thye welcome all of the applications from G20 countries and emerging countries. (both G20 and non-G20 countries). Each applicant should possess a minimum of 3 years of experience, or be at the middle manager level in his/her current field.. Strong proficiency in English is required.","","The last date to submit an application for the G20 Global Leadership Program 2020 in South Korea on January 26th, 2020.. APPLY NOW OFFICIAL LINK","https://docs.google.com/forms/d/e/1FAIpQLScPzO6RuIJJFXNm4wuJ6-GzMhftP5sPsaG1k-_YckeAB6-O1Q/viewform","https://kdischool.ac.kr/#/www/content/calendar/event?contentId=35426#top","https://scholarshipscorner.website/g20-global-leadership-program/"
"Study in the USA-US Pakistan Knowledge Corridor Scholarships","Do you want to Study in the USA? Higher Education Commission, Pakistan is now accepting applications for the US Pakistan Knowledge Corridor Scholarships 2020. Those students who have done bachelor’s (16 Years) can apply for MS leading to Ph.D., and students with 18  years of education can apply for the doctorate (PhD) in top-ranked universities of the United States.","United States","United States","To be eligible, you must:. Pakistani/AJK nationals. Candidates having an MS/M.Phil. Degree (18 years of education) from HEC recognized universities. Candidates with 4-years Bachelor Degree (16 years of education), eligible for direct admission in Ph.D. programs at US Universities. Age limit: maximum 40 years for regular faculty & researchers of public sector universities/R&D organizations, and 35 years for all others. Has acquired valid & acceptable GRE & TOEFL (Here is  for the best GRE Guide, Must Read) scores required for admission in US Universities. Scholars who have already secured admission or those enrolled in the PhD program in top 235 US Universities & 23 University Systems may also apply for a scholarship. Has an active commitment to serve universities/R&D organizations in Pakistan after the completion of studies.. Worried about GRE Preparation? Here is the Simple and best GRE preparation guide, must check.. Academic criteria:. Academic merit-based on HEC-AEF calculator will be applicable. Have a maximum of 2 Second Divisions throughout the academic career. Have no 3rd Division or grade D in his/her career. Not less than 50% marks in an academic career.","","The last date to apply for the Study in the USA-US Pakistan Knowledge Corridor Scholarships (Study in the US on scholarship)  is February 20, 2020.. APPLY NOW OFFICIAL LINK","https://www.hec.gov.pk/english/scholarshipsgrants/US-Pakcorridor/Pages/How-to-Apply.aspx","https://www.hec.gov.pk/english/scholarshipsgrants/US-Pakcorridor/Pages/default.aspx?fbclid=IwAR0UvkAJ2dEyZ718_fMVR6-8KEGE1UizS84yicED6CPS1iG123-qD_H2l7Q","https://scholarshipscorner.website/study-in-the-usa-us-pakistan-knowledge-corridor-scholarships/"
"Heinrich Boll Foundation Scholarships 2020 in Germany-Study in Germany","Call for applications for the Heinrich Boll Foundation Scholarships 2020 in Germany. The Heinrich Böll Foundation grants scholarships to approximately 1,200 scholarships of all subjects and nationalities per year. Both international and German students can apply for international scholarships in Germany.","Germany. Degree Level:. Undergraduate. Masters. Doctoral","Germany. Degree Level:. Undergraduate. Masters. Doctoral","","","The application deadline for the Heinrich Boll Foundation Scholarships in Germany 2020 is 1st March 2020.. APPLY NOW OFFICIAL LINK","https://www.boell.de/de/stiftung/bewerbung?dimension1=division_sw","https://www.boell.de/en/foundation/scholarships","https://scholarshipscorner.website/heinrich-boll-foundation-scholarships/"
"UNESCO Youth Leadership Workshop 2020 in South Korea [Fully Funded]","Call for applications for the 6th UNESCO Youth Leadership Workshop 2020 in Seoul, South Korea.  The duration of the fully-funded leadership program in Korea is one week and the youth workshop will be held in Seoul from  25 to 31 May 2020. You don’t need IELTS/TOEFL for the UNESCO/APCEIU South Korea leadership workshop.","South Korea","South Korea","Participants will be selected on the basis of their previous experiences, present engagement and futurecommitment in educating and engaging with youth for the promotion of GCED at the local and nationallevels. Applicants should meet the following requirements:. Born between 1992 and 2001. Workshop only provides opportunities to youths who are citizens of both the ODA recipient countries and the UNESCO member states.. Minimum 2 years of active experience in youth activities. Completion of the e-learning course titled “Becoming Global Citizens for a Sustainable Society”on GCED Online Campus (www.gcedonlinecampus.org) by 9 March 2020 *. Proficiency in spoken and written English","During the Workshop, participants will identify specific priority issues around global citizenship and establish plans for the future direction of GCED. Working both individually and in groups, the young leaders will devise the goals and strategies for use at local and national levels.. Participants will learn about specific areas such as GCED and human rights through information sessions and engage in dialogue and debates on the evolving issues. As part of the Workshop, participants will make a field visit to discuss the role of youth for a more peaceful and sustainable future.","The deadline for the UNESCO Youth Leadership Workshop 2019 in Seoul, Korea is 17 March 2020.. Note: For more Amazing & Fully-Funded national and international opportunities, visit our website scholarshipscorner.website and Follow us on Facebook Page, Twitter, Instagram, Linkedin, and Telegram.","https://docs.google.com/forms/d/e/1FAIpQLSeCyy-UeAWYjqUQQPuxebtNxFmE2nzUnY6RXwYk6Wa0Cpu0Ww/viewform?fbzx=-2089606481358206815","https://scholarshipscorner.website/masters-scholarships-in-france/","https://scholarshipscorner.website/unesco-youth-leadership-workshop/"
"25 Best Online Colleges for 2020-2021 – An Important Write-Up","Here is the list of Best Online Colleges. In the most recent decade, online schools have developed in number, with many state colleges and other legitimate universities and colleges presently offering  online degrees.","","Gainesville, Florida. The University of Florida  is an American public land-grant, sea-grant, and space-grant research university in Gainesvile, Florida. It is a senior member of the State University System of Florida which established in 1853, and has operated continuously on its Gainesville campus since September 1906.. The University of Florida distance learning offers more than 200 undergraduate and graduate degrees online. UF is a leader in online education with top 5 MBA and Education program.","","","","","http://rmuonline.rmu.edu/","https://scholarshipscorner.website/best-online-colleges/"
"International Writing Competition 2020 UK – Bristol Short Story Prize","The Bristol Short Story Prize UK 2020 is an annual International Writing Competition open to all published and unpublished, UK and non-UK based writers. They publish an annual anthology of the winning stories as well as presenting cash prizes. 20 stories will be shortlisted and published in Bristol Short Story Prize Anthology Volume 13 by Tangent Books. The winner and 2 runners up will be selected from the shortlist and announced at an awards ceremony which will be held in Bristol in October 2020.","United Kingdom","United Kingdom","The 2019 Bristol Short Story Prize is open to all published and unpublished writers. There is no geographical restriction on entry – the 2019 Bristol Short Story Prize is open to everyone.","","The last date to apply for the International Writing Competition 2019 is April 30th, 2020.. APPLY NOW OFFICIAL LINK","http://bristolprize.co.uk","http://bristolprize.co.uk","https://scholarshipscorner.website/international-writing-competition/"
"New Zealand Government Scholarship 2020-2021 [Fully Funded]","The New Zealand Ministry of Foreign Affairs & Trade is now accepting applications for the New Zealand Government Scholarship 2020. New Zealand scholarships are available for undergraduate, master’s and doctoral degree programs. Selected students will study at world-class universities in New Zealand.","New Zealand","New Zealand","The Eligibility questionnaire will check in detail if you meet all of the eligibility criteria. The Eligibility questionnaire will check things such as:. Which country you hold citizenship in. How long you have been living in your home country. How much work experience you have. Whether we provide scholarships to your country. You must complete the eligibility questionnaire before you can apply for a Scholarship.","","Click on Application opening and closing dates for your country to check the application deadline of the New Zealand Government Scholarship.. APPLY NOW OFFICIAL LINK","http://mfat.govt.nz/en/aid-and-development/new-zealand-government-scholarships/new-zealand-scholarships-for-international-tertiary-students/how-to-apply-for-a-new-zealand-scholarship/","https://www.mfat.govt.nz/en/aid-and-development/new-zealand-government-scholarships/new-zealand-scholarships-for-international-tertiary-students/","https://scholarshipscorner.website/new-zealand-government-scholarship/"
